episode_index,length_frames,length_seconds
1190,2076,69.2
1191,2188,72.933
1192,2053,68.433
1193,1732,57.733
1194,1782,59.4
1195,1994,66.467
1196,1715,57.167
1197,1452,48.4
1198,1651,55.033
1199,2252,75.067
1200,1823,60.767
1201,1816,60.533
1202,2584,86.133
1203,1631,54.367
1204,1500,50.0
1205,1837,61.233
1206,1763,58.767
1207,1910,63.667
1208,1949,64.967
1209,1926,64.2
1210,1528,50.933
1211,1662,55.4
1212,1353,45.1
1213,1490,49.667
1214,1878,62.6
1215,1607,53.567
1216,1635,54.5
1217,1748,58.267
1218,1845,61.5
1219,1567,52.233
1220,1923,64.1
1221,1940,64.667
1222,1963,65.433
1223,1690,56.333
1224,1435,47.833
1225,1950,65.0
1226,2045,68.167
1227,1859,61.967
1228,1871,62.367
1229,1755,58.5
1230,1937,64.567
1231,2077,69.233
1232,1911,63.7
1233,1964,65.467
1234,1651,55.033
1235,2085,69.5
1236,2045,68.167
1237,2059,68.633
1238,2126,70.867
1239,2212,73.733
1240,1876,62.533
1241,1746,58.2
1242,1581,52.7
1243,1834,61.133
1244,1558,51.933
1245,1713,57.1
1246,1892,63.067
1247,1676,55.867
1248,1573,52.433
1249,2067,68.9
1250,1644,54.8
1251,1976,65.867
1252,1567,52.233
1253,1839,61.3
1254,1497,49.9
1255,1596,53.2
1256,1601,53.367
1257,2313,77.1
1258,1583,52.767
1259,1679,55.967
1260,1857,61.9
1261,1429,47.633
1262,1741,58.033
1263,1757,58.567
1264,2248,74.933
1265,1749,58.3
1266,1646,54.867
1267,1787,59.567
1268,1507,50.233
1269,1984,66.133
1270,2135,71.167
1271,1405,46.833
1272,2540,84.667
1273,1474,49.133
1274,1695,56.5
1275,2312,77.067
1276,1820,60.667
1277,1706,56.867
1278,1807,60.233
1279,1690,56.333
1280,1437,47.9
1281,2148,71.6
1282,1443,48.1
1283,1716,57.2
1284,1703,56.767
1285,1645,54.833
1286,1727,57.567
1287,1659,55.3
1288,1635,54.5
1289,1355,45.167
1290,1521,50.7
1291,1498,49.933
1292,1646,54.867
1293,1481,49.367
1294,1366,45.533
1295,1522,50.733
1296,1452,48.4
1297,1513,50.433
1298,1582,52.733
1299,1816,60.533
1300,1759,58.633
1301,1650,55.0
1302,1825,60.833
1303,1432,47.733
1304,1582,52.733
1305,1813,60.433
1306,1925,64.167
1307,1693,56.433
1308,1944,64.8
1309,1644,54.8
1310,1751,58.367
1311,2071,69.033
1312,1730,57.667
1313,1524,50.8
1314,1832,61.067
1315,1818,60.6
1316,1533,51.1
1317,1685,56.167
1318,2127,70.9
1319,1651,55.033
1320,1704,56.8
1321,1801,60.033
1322,1375,45.833
1323,1883,62.767
1324,1874,62.467
1325,2193,73.1
1326,1859,61.967
1327,1448,48.267
1328,2043,68.1
1329,2040,68.0
1330,1538,51.267
1331,1778,59.267
1332,1455,48.5
1333,1545,51.5
1334,2155,71.833
1335,1758,58.6
1336,1618,53.933
1337,1840,61.333
1338,2067,68.9
1339,1437,47.9
1340,1637,54.567
1341,2422,80.733
1342,1679,55.967
1343,1459,48.633
1344,1431,47.7
1345,1990,66.333
1346,1838,61.267
1347,1555,51.833
1348,1883,62.767
1349,1927,64.233
1350,1690,56.333
1351,1486,49.533
1352,1449,48.3
1353,2129,70.967
1354,1956,65.2
1355,1352,45.067
1356,1419,47.3
1357,1735,57.833
1358,1596,53.2
1359,1461,48.7
1360,1777,59.233
1361,1562,52.067
1362,1352,45.067
1363,1516,50.533
1364,1668,55.6
1365,1925,64.167
1366,1427,47.567
1367,1394,46.467
1368,1395,46.5
1369,1538,51.267
1370,1667,55.567
1371,1453,48.433
1372,1524,50.8
1373,1523,50.767
1374,1646,54.867
1375,1372,45.733
1376,1466,48.867
1377,2004,66.8
1378,2073,69.1
1379,1665,55.5
1380,1585,52.833
1381,2067,68.9
1382,1419,47.3
1383,1384,46.133
1384,2221,74.033
1385,1619,53.967
1386,1500,50.0
1387,1410,47.0
1388,1399,46.633
1389,1488,49.6
1390,1634,54.467
1391,1526,50.867
1392,1729,57.633
1393,1420,47.333
1394,1559,51.967
1395,2101,70.033
1396,1441,48.033
1397,1708,56.933
1398,1792,59.733
1399,1853,61.767
1400,1384,46.133
1401,1777,59.233
1402,1401,46.7
1403,1382,46.067
1404,1769,58.967
1405,1365,45.5
1406,2110,70.333
1407,1629,54.3
1408,1725,57.5
1409,1647,54.9
1410,1658,55.267
1411,1917,63.9
1412,1374,45.8
1413,1491,49.7
1414,1430,47.667
1415,1497,49.9
1416,1502,50.067
1417,1581,52.7
1418,1523,50.767
1419,1523,50.767
1420,1666,55.533
1421,1810,60.333
1422,1588,52.933
1423,1707,56.9
1424,1501,50.033
1425,1616,53.867
1426,2045,68.167
1427,1627,54.233
1428,2044,68.133
1429,2054,68.467
1430,2387,79.567
1431,2151,71.7
1432,1411,47.033
1433,1575,52.5
1434,1577,52.567
1435,2730,91.0
1436,3202,106.733
1437,3404,113.467
1439,3097,103.233
1442,3451,115.033
1447,1703,56.767
1451,1642,54.733
1454,2185,72.833
1455,2863,95.433
1456,2733,91.1
1457,3450,115.0
1458,3308,110.267
1459,3585,119.5
1460,3515,117.167
1461,3324,110.8
1462,3043,101.433
1463,3119,103.967
1464,3164,105.467
1465,3240,108.0
1466,3105,103.5
1468,3380,112.667
1473,3494,116.467
1476,3339,111.3
1483,2941,98.033
1485,2675,89.167
1486,3206,106.867
1487,1452,48.4
1488,2877,95.9
1489,3555,118.5
1490,2958,98.6
1491,2710,90.333
1492,3132,104.4
1493,2728,90.933
1494,3167,105.567
1495,2921,97.367
1496,2857,95.233
1497,3094,103.133
1498,2453,81.767
1500,3564,118.8
1501,2761,92.033
1502,2667,88.9
1503,3556,118.533
1504,2191,73.033
1505,3586,119.533
1507,2366,78.867
1508,3373,112.433
1509,1871,62.367
1510,2465,82.167
1511,2427,80.9
1512,3163,105.433
1513,2796,93.2
1514,2973,99.1
1516,3463,115.433
1519,1930,64.333
1520,3274,109.133
1523,3401,113.367
1524,3079,102.633
1525,2743,91.433
1527,3460,115.333
1529,3018,100.6
1530,2976,99.2
1531,3430,114.333
1532,2224,74.133
1534,3249,108.3
1535,2746,91.533
1536,2817,93.9
1539,2507,83.567
1540,3004,100.133
1541,3490,116.333
1542,3134,104.467
1544,3029,100.967
1545,2402,80.067
1546,2572,85.733
1547,3218,107.267
